complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Ogni mattina io faccio la doccia.,Ogni mattina io ___ la doccia.,Every morning I take a shower.,,,faccio,prendo,bevo,mangio,A,A1,Routine quotidiana,The expression 'fare la doccia' means 'to take a shower'. 'Faccio' is the first person singular of 'fare'.,https://www.lawlessitalian.com/vocabulary/daily-routine/
Tu leggi un libro interessante.,Tu ___ un libro interessante.,You read an interesting book.,,,leggi,legge,leggiamo,leggono,A,A1,Presente indicativo: verbi regolari -ere,"For -ere verbs in present tense, the 'tu' (you) form ends in -i. 'Leggere' becomes 'leggi'.",https://www.lawlessitalian.com/grammar/verbs/present-tense/
Le studentesse sono molto intelligenti.,Le ___ sono molto intelligenti.,The female students are very intelligent.,,,studentesse,studenti,studentessa,studente,A,A1,Nomi (genere e numero),The feminine definite article 'le' indicates a feminine plural noun. 'Studentesse' is the feminine plural of 'studente'.,https://www.lawlessitalian.com/grammar/nouns/gender-number/
Mio zio abita a Milano con la sua famiglia.,Mio ___ abita a Milano con la sua famiglia.,My uncle lives in Milan with his family.,,,zio,zia,nonno,cugino,A,A1,Famiglia (vocabolario),'Zio' means uncle. Family member terms are essential A1 vocabulary for describing relatives.,https://www.lawlessitalian.com/vocabulary/family/
I miei occhi sono di colore marrone.,I miei ___ sono di colore marrone.,My eyes are brown in color.,,,occhi,capelli,denti,orecchie,A,A1,Corpo (vocabolario),Occhi is the masculine plural form for 'eyes'.,https://www.lawlessitalian.com/vocabulary/body-parts/
Lei ha i capelli lunghi e biondi.,Lei ha i ___ lunghi e biondi.,She has long blond hair.,,,capelli,occhi,piedi,denti,A,A1,Corpo (vocabolario),Capelli is the masculine plural noun for 'hair'.,https://www.lawlessitalian.com/vocabulary/body-parts/
Io posso venire alla festa domani sera.,Io ___ venire alla festa domani sera.,I can come to the party tomorrow evening.,,,posso,puoi,può,possono,A,A1,"Verbi modali (potere, dovere, volere)",The first person singular (io) form of potere is posso.,https://www.lawlessitalian.com/grammar/modal-verbs/
I nostri genitori abitano in campagna.,I ___ genitori abitano in campagna.,Our parents live in the countryside.,,,nostri,nostra,nostre,miei,A,A1,Aggettivi possessivi,Nostri agrees with the masculine plural noun 'genitori'.,https://www.lawlessitalian.com/grammar/possessive-adjectives/
La cucina è la stanza più importante della casa.,La ___ è la stanza più importante della casa.,The kitchen is the most important room in the house.,,,cucina,bagno,camera,salotto,A,A1,Casa (vocabolario),La cucina is the feminine noun for 'kitchen'.,https://www.lawlessitalian.com/vocabulary/house/
Quando arriva il treno per Milano?,___ arriva il treno per Milano?,When does the train for Milan arrive?,,,Quando,Dove,Come,Perché,A,A1,Parole interrogative,Quando means 'when' and is used to ask about time.,https://www.lawlessitalian.com/grammar/interrogatives/
Loro finiscono sempre i compiti prima di cena.,Loro ___ sempre i compiti prima di cena.,They always finish their homework before dinner.,,,finiscono,finisce,finiamo,finisci,A,A1,Presente indicativo: verbi regolari -ire con -isc-,The third person plural (loro) form of finire adds -isc- and becomes finiscono.,https://www.lawlessitalian.com/grammar/present-tense/
Io prendo la metropolitana per andare in centro.,Io prendo la ___ per andare in centro.,I take the subway to go downtown.,,metro,metropolitana,bicicletta,macchina,motocicletta,A,A1,Trasporti (vocabolario),La metropolitana is the Italian word for subway/underground.,https://www.lawlessitalian.com/vocabulary/transportation/
Il mio gatto è molto pigro e dorme tutto il giorno.,Il mio ___ è molto pigro e dorme tutto il giorno.,My cat is very lazy and sleeps all day.,,,gatto,cane,uccello,pesce,A,A1,Animali (vocabolario),Il gatto is the masculine noun for 'cat'.,https://www.lawlessitalian.com/vocabulary/animals/
Io finisco i compiti alle otto.,Io ___ i compiti alle otto.,I finish my homework at eight o'clock.,,,finisco,finiamo,finisci,finiscono,A,A1,Presente indicativo: verbi regolari -ire,"First person singular of 'finire' (to finish) is 'finisco'. Regular -ire verbs add -isco for io, tu, and loro forms.",https://www.lawlessitalian.com/grammar/present-indicative/
Ci sono molti studenti in classe oggi.,___ molti studenti in classe oggi.,There are many students in class today.,,,Ci sono,C'è,Sono,È,A,A1,C'è / Ci sono,"Use 'ci sono' for plural subjects. 'Studenti' is plural, so we need 'ci sono' (there are).",https://www.lawlessitalian.com/grammar/ci-sono/
Il lunedì io studio italiano.,___ io studio italiano.,On Mondays I study Italian.,,,Il lunedì,Lunedì,Nel lunedì,Al lunedì,A,A1,Giorni della settimana (vocabolario),"To express recurring actions on a specific day, use the definite article: 'il lunedì' means 'on Mondays'.",https://www.lawlessitalian.com/vocabulary/days-week/
Tu sei molto gentile.,___ sei molto gentile.,You are very kind.,,,Tu,Io,Lui,Noi,A,A1,Pronomi soggetto,"The verb 'sei' is the second person singular form of 'essere', which corresponds to the subject pronoun 'tu' (you).",https://www.lawlessitalian.com/grammar/subject-pronouns/
Non posso venire alla festa stasera.,Non ___ venire alla festa stasera.,I can't come to the party tonight.,,,posso,puoi,può,possono,A,A1,"Verbi modali (potere, dovere, volere)",Modal verb 'potere' (can/to be able to) in first person singular is 'posso'. Modal verbs are followed by infinitive.,https://www.lawlessitalian.com/grammar/modal-verbs/
Indosso una giacca blu per il lavoro.,Indosso una ___ blu per il lavoro.,I wear a blue jacket for work.,,,giacca,pantaloni,scarpe,calzini,A,A1,Abbigliamento (vocabolario),Clothing vocabulary: 'giacca' means jacket. The indefinite article 'una' indicates a feminine singular noun.,https://www.lawlessitalian.com/vocabulary/clothing/
Porto sempre i miei pantaloni neri.,Porto sempre i miei ___ neri.,I always wear my black pants.,,,pantaloni,scarpa,camicia,gonna,A,A1,Abbigliamento (vocabolario),Clothing vocabulary: 'pantaloni' means pants/trousers. The plural article 'i' and adjective 'neri' indicate masculine plural.,https://www.lawlessitalian.com/vocabulary/clothing/
Mia sorella è molto intelligente.,Mia sorella ___ molto intelligente.,My sister is very intelligent.,,,è,sono,sei,siamo,A,A1,Verbo essere (to be),The verb 'essere' (to be) conjugated for third person singular is 'è'. 'Mia sorella' (my sister) is third person singular.,https://www.lawlessitalian.com/grammar/essere/
"Piacere di conoscerla, signora Rossi.","___ di conoscerla, signora Rossi.","Nice to meet you, Mrs. Rossi.",formal greeting,,Piacere,Ciao,Buongiorno,Arrivederci,A,A1,Saluti e presentazioni,Piacere is used in formal introductions meaning 'pleasure' or 'nice to meet you',https://www.lawlessitalian.com/grammar/formal-vs-informal
Non c'è di che.,Non c'è ___ che.,You're welcome. / Don't mention it.,,,di,da,per,con,A,A1,Espressioni comuni,Non c'è di che is a fixed expression meaning 'you're welcome' or 'don't mention it',https://www.lawlessitalian.com/vocabulary/common-expressions
Il mio vestito preferito è verde.,Il mio vestito preferito è ___.,My favorite dress is green.,,,verde,verdi,verde scuro,verdino,A,A1,Colori (vocabolario),Verde is invariable for masculine and feminine singular nouns,https://www.lawlessitalian.com/vocabulary/colors
Le scarpe rosse sono bellissime.,Le scarpe ___ sono bellissime.,The red shoes are very beautiful.,,,rosse,rossa,rosso,rossi,A,A1,Colori (vocabolario),Rosse agrees with feminine plural noun scarpe,https://www.lawlessitalian.com/vocabulary/colors
Mi piacciono molto i gelati al cioccolato.,Mi ___ molto i gelati al cioccolato.,I really like chocolate ice creams.,,,piacciono,piace,piacciamo,piacete,A,A1,Piacere (uso base: piace/piacciono),Piacciono is used when the thing liked is plural (i gelati),https://www.lawlessitalian.com/grammar/piacere
Loro vendono frutta fresca al mercato.,Loro ___ frutta fresca al mercato.,They sell fresh fruit at the market.,,,vendono,vende,vendi,vendiamo,A,A1,Presente indicativo: verbi regolari -ere,Vendono is the third person plural present form of vendere (-ere verb),https://www.lawlessitalian.com/grammar/present-tense-regular-verbs
In primavera i fiori sono molto belli.,In ___ i fiori sono molto belli.,In spring the flowers are very beautiful.,,,primavera,inverno,estate,autunno,A,A1,Stagioni (vocabolario),"The seasons in Italian are: primavera (spring), estate (summer), autunno (autumn), inverno (winter).",https://www.lawlessitalian.com/vocabulary/seasons
Io parlo italiano con i miei amici.,Io ___ italiano con i miei amici.,I speak Italian with my friends.,,,parlo,parli,parla,parlano,A,A1,Presente indicativo: verbi regolari -are,First person singular of -are verbs drops -are and adds -o: parlare → io parlo.,https://www.lawlessitalian.com/grammar/present-tense
Mia sorella è una dottoressa molto brava.,Mia sorella è una ___ molto brava.,My sister is a very good doctor.,feminine form,,dottoressa,dottore,infermiera,maestra,A,A1,Professioni (vocabolario),"Many professions have masculine and feminine forms: dottore/dottoressa, maestro/maestra, etc.",https://www.lawlessitalian.com/vocabulary/professions
Il supermercato è dietro al cinema.,Il supermercato è ___ al cinema.,The supermarket is behind the cinema.,,,dietro,davanti,accanto,dentro,A,A1,Direzioni e luoghi in città,"Position prepositions: dietro (behind), davanti (in front), accanto (next to), dentro (inside).",https://www.lawlessitalian.com/vocabulary/directions
I bambini finiscono i compiti alle sei.,I bambini ___ i compiti alle sei.,The children finish their homework at six.,,,finiscono,finono,finisco,finisce,A,A1,Presente indicativo: verbi regolari -ire con -isc-,Some -ire verbs add -isc- in conjugation: finire → loro finiscono (not finono).,https://www.lawlessitalian.com/grammar/present-tense
I miei genitori abitano in campagna.,I miei ___ abitano in campagna.,My parents live in the countryside.,,,genitori,figli,fratelli,zii,A,A1,Famiglia (vocabolario),"Family members: genitori (parents), figli (children), fratelli (brothers/siblings), zii (uncles/aunts).",https://www.lawlessitalian.com/vocabulary/family
Mi fa male la testa oggi.,Mi fa male la ___ oggi.,My head hurts today.,,,testa,mano,gamba,piede,A,A1,Corpo (vocabolario),Body parts vocabulary: 'testa' means head. The expression 'mi fa male la testa' means 'my head hurts'.,https://www.lawlessitalian.com/vocabulary/body-parts/
Il gatto dorme sotto il tavolo.,Il gatto dorme ___ il tavolo.,The cat sleeps under the table.,,,sotto,sopra,dentro,davanti,A,A1,Preposizioni semplici,Simple prepositions: 'sotto' means under/beneath. It indicates position below something.,https://www.lawlessitalian.com/grammar/prepositions/
La macchina rossa è nuova.,La macchina ___ è nuova.,The red car is new.,,,rossa,rosso,rosse,rossi,A,A1,Aggettivi (accordo e uso),"Adjectives must agree with the noun in gender and number. 'Macchina' is feminine singular, so 'rosso' becomes 'rossa'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
Questi libri sono interessanti.,___ libri sono interessanti.,These books are interesting.,,,Questi,Questo,Questa,Queste,A,A1,Dimostrativi,"Demonstrative adjectives must agree with the noun. 'Libri' is masculine plural, so use 'questi'.",https://www.lawlessitalian.com/grammar/demonstrative-adjectives/
Mio padre lavora in ufficio.,Mio ___ lavora in ufficio.,My father works in an office.,,,padre,madre,sorella,nonna,A,A1,Famiglia (vocabolario),Family vocabulary: 'padre' means father. 'Mio' (masculine possessive) agrees with masculine family members.,https://www.lawlessitalian.com/vocabulary/family/
Loro sono studenti universitari.,Loro ___ studenti universitari.,They are university students.,,,sono,è,sei,siamo,A,A1,Verbo essere (to be),The verb 'essere' (to be) conjugated for third person plural is 'sono'. 'Loro' (they) takes the plural form.,https://www.lawlessitalian.com/grammar/essere/
L'ufficio postale è di fronte al supermercato.,L'ufficio postale è di fronte ___ supermercato.,The post office is across from the supermarket.,,,al,del,nel,sul,A,A1,Direzioni e luoghi in città,Preposition contractions: 'al' combines 'a' + 'il'. The expression 'di fronte a' (across from) requires 'a'.,https://www.lawlessitalian.com/grammar/preposition-contractions/
Il frigorifero è in cucina.,Il ___ è in cucina.,The refrigerator is in the kitchen.,,,frigorifero,letto,divano,armadio,A,A1,Casa (vocabolario),House vocabulary: 'frigorifero' means refrigerator. Kitchen appliances and furniture belong in their appropriate rooms.,https://www.lawlessitalian.com/vocabulary/house/
Tu sei molto gentile con tutti.,Tu ___ molto gentile con tutti.,You are very kind to everyone.,,,sei,è,sono,siamo,A,A1,Verbo essere (to be),"Essere conjugation: io sono, tu sei, lui/lei è, noi siamo, voi siete, loro sono.",https://www.lawlessitalian.com/grammar/essere
Loro mangiano la pizza insieme.,___ mangiano la pizza insieme.,They eat pizza together.,,,Loro,Lui,Lei,Noi,A,A1,Pronomi soggetto,"Subject pronouns: io (I), tu (you), lui/lei (he/she), noi (we), voi (you pl.), loro (they).",https://www.lawlessitalian.com/grammar/subject-pronouns
Noi andiamo al mare domani mattina.,Noi andiamo al mare ___ mattina.,We are going to the sea tomorrow morning.,,,domani,ieri,oggi,sempre,A,A1,Espressioni di tempo,"Basic time expressions: oggi (today), ieri (yesterday), domani (tomorrow), sempre (always).",https://www.lawlessitalian.com/vocabulary/time-expressions
Lei porta sempre un cappotto nero in inverno.,Lei porta sempre un ___ nero in inverno.,She always wears a black coat in winter.,,,cappotto,vestito,cappello,maglione,A,A1,Abbigliamento (vocabolario),"Clothing items: cappotto (coat), vestito (dress), cappello (hat), maglione (sweater).",https://www.lawlessitalian.com/vocabulary/clothing
Lui viene dalla Francia ma vive in Italia.,Lui viene dalla ___ ma vive in Italia.,He comes from France but lives in Italy.,,,Francia,Spagna,Germania,Inghilterra,A,A1,"Geografia (paesi, città, nazionalità)","European countries: Francia (France), Spagna (Spain), Germania (Germany), Inghilterra (England).",https://www.lawlessitalian.com/vocabulary/countries
Marco è un ragazzo americano molto simpatico.,Marco è un ragazzo ___ molto simpatico.,Marco is a very nice American boy.,,,americano,italiana,francese,tedesca,A,A1,"Geografia (paesi, città, nazionalità)","Nationalities agree with gender: americano (m), americana (f), italiano (m), italiana (f).",https://www.lawlessitalian.com/vocabulary/nationalities
Le ragazze giapponesi studiano molto.,Le ___ giapponesi studiano molto.,The Japanese girls study a lot.,,,ragazze,ragazza,ragazzi,ragazzo,A,A1,Nomi (genere e numero),Feminine plural nouns end in -e: la ragazza → le ragazze. Must agree with article and adjective.,https://www.lawlessitalian.com/grammar/noun-gender-number
Io cammino con i miei amici.,Io cammino ___ i miei amici.,I walk with my friends.,,,con,senza,per,tra,A,A1,Preposizioni semplici,Simple prepositions: 'con' means 'with' and indicates accompaniment or togetherness.,https://www.lawlessitalian.com/grammar/prepositions/
